Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Expenditure_Type,Total_Expenditure_EUR,Avg_Exp_per_Trip_EUR,Avg_Exp_per_Night_EUR
2019,FR,France,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,291283830.0,805.64,131.53
2022,FR,France,AT,Austria,Personal reasons,1 night or over,Package arrangement,80240462.0,264.94,38.13
2022,FR,France,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,266624282.0,880.34,126.71
2019,HR,Croatia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,48133867.0,301.95,82.28
2022,HR,Croatia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,24313233.0,276.75,72.32
2019,HU,Hungary,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,92788607.0,137.53,44.89
2022,HU,Hungary,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,138448959.0,172.59,54.05
2019,IE,Ireland,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,75538140.0,1119.67,188.5
2019,IT,Italy,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,169663370.0,375.97,150.58
2022,IT,Italy,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,195011587.0,477.91,102.16
2019,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,10226500.0,784.59,144.49
2022,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,Package arrangement,3186260.0,202.31,25.28
2022,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,12144043.0,771.08,96.36
2019,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,99052085.0,1238.15,198.15
2022,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,116621610.0,1477.45,219.66
2019,MT,Malta,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,14423539.0,943.12,175.3
2022,MT,Malta,AT,Austria,Personal reasons,1 night or over,Package arrangement,1579547.0,146.05,27.88
2022,MT,Malta,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,9134294.0,844.61,161.22
2019,NL,Netherlands,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,833191472.0,739.49,86.7
2022,NL,Netherlands,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,943529247.0,712.64,78.4
2019,PL,Poland,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,225924017.0,549.2,69.57
2022,PL,Poland,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,158580101.0,575.44,58.84
2019,PT,Portugal,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,13685923.0,811.47,156.05
2022,PT,Portugal,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,11731564.0,721.83,123.23
2019,RO,Romania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,59078804.0,431.78,78.54
2022,RO,Romania,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,70289475.0,751.98,117.28
2019,SE,Sweden,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,279206399.0,1557.89,214.89
2019,SI,Slovenia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,32206042.0,208.1,76.7
2022,SI,Slovenia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,29821863.0,354.71,121.82
2019,SK,Slovakia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,120410816.0,342.7,77.46
2022,SK,Slovakia,AT,Austria,Personal reasons,1 night or over,Total excluding durable/valuable goods,108043163.0,521.14,122.72
2019,BE,Belgium,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,249649692.0,803.48,114.87
2022,BE,Belgium,AT,Austria,Personal reasons,4 nights or over,Package arrangement,51803520.0,179.73,24.2
2022,BE,Belgium,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,259647954.0,900.82,121.28
2019,CH,Switzerland,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,456246218.0,921.24,118.16
2019,CZ,Czechia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,151806579.0,370.83,66.34
2022,CZ,Czechia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,163947423.0,499.67,75.89
2019,DE,Germany,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,5354667889.0,721.71,104.55
2022,DE,Germany,AT,Austria,Personal reasons,4 nights or over,Package arrangement,1136189003.0,147.66,20.3
2022,DE,Germany,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,6680435783.0,868.2,119.38
2019,DK,Denmark,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,227027551.0,1141.73,156.69
2019,EL,Greece,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,20399023.0,699.37,93.12
2019,ES,Spain,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,93720134.0,832.96,108.5
2022,ES,Spain,AT,Austria,Personal reasons,4 nights or over,Package arrangement,24890444.0,178.58,21.49
2022,ES,Spain,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,146879572.0,1053.83,126.8
2019,FI,Finland,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,86612518.0,1111.21,181.18
2019,FR,France,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,260840906.0,901.62,129.36
2022,FR,France,AT,Austria,Personal reasons,4 nights or over,Package arrangement,80240462.0,306.56,39.95
2022,FR,France,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,250115884.0,955.57,124.54
2019,HR,Croatia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,25361768.0,420.47,63.41
2022,HR,Croatia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,10553814.0,350.08,47.45
2019,HU,Hungary,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,28794620.0,149.05,25.27
2022,HU,Hungary,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,60782507.0,207.07,42.73
2019,IE,Ireland,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,70280757.0,1203.75,187.74
2022,IT,Italy,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,74879002.0,598.84,60.61
2019,LT,Lithuania,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,8899085.0,1001.41,141.95
2022,LT,Lithuania,AT,Austria,Personal reasons,4 nights or over,Package arrangement,3186260.0,217.54,25.8
2022,LT,Lithuania,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,11865297.0,810.11,96.09
2019,LU,Luxembourg,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,86135784.0,1371.69,190.03
2022,LU,Luxembourg,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,106258680.0,1636.57,213.97
2019,MT,Malta,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,12650819.0,1006.69,168.21
2022,MT,Malta,AT,Austria,Personal reasons,4 nights or over,Package arrangement,1579547.0,176.42,30.93
2022,MT,Malta,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,7841515.0,875.82,153.53
2019,NL,Netherlands,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,778388705.0,761.48,83.52
2022,NL,Netherlands,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,907886975.0,742.74,77.17
2019,PL,Poland,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,206289577.0,576.06,66.42
2022,PL,Poland,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,141311793.0,687.49,56.26
2019,PT,Portugal,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,12851959.0,848.89,155.23
2022,PT,Portugal,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,11134049.0,755.64,120.8
2019,RO,Romania,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,45192155.0,449.48,69.39
2022,RO,Romania,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,63896739.0,802.5,113.25
2019,SE,Sweden,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,236118317.0,1768.14,198.42
2019,SI,Slovenia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,16518820.0,406.3,79.0
2022,SI,Slovenia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,11765351.0,506.22,98.39
2019,SK,Slovakia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,77435545.0,457.63,68.03
2022,SK,Slovakia,AT,Austria,Personal reasons,4 nights or over,Total excluding durable/valuable goods,76817113.0,682.92,116.4
2019,DE,Germany,AT,Austria,"Professional, business",From 1 to 3 nights,Total excluding durable/valuable goods,324947443.0,412.35,225.85
2019,HU,Hungary,AT,Austria,"Professional, business",From 1 to 3 nights,Total excluding durable/valuable goods,3807624.0,244.09,115.54
2022,HU,Hungary,AT,Austria,"Professional, business",From 1 to 3 nights,Total excluding durable/valuable goods,8374362.0,239.49,110.43
2019,LT,Lithuania,AT,Austria,"Professional, business",From 1 to 3 nights,Total excluding durable/valuable goods,2816749.0,340.66,113.55
2022,PL,Poland,AT,Austria,"Professional, business",From 1 to 3 nights,Total excluding durable/valuable goods,8594687.0,360.81,138.52
2019,DE,Germany,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,505798008.0,529.83,219.78
2022,DE,Germany,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,512518032.0,685.97,216.53
2019,HR,Croatia,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,14336612.0,378.78,105.91
2019,HU,Hungary,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,3944912.0,246.48,106.58
2022,HU,Hungary,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,10181226.0,255.3,106.64
2019,LT,Lithuania,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,3778864.0,340.03,100.09
2022,LT,Lithuania,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,3279602.0,549.83,113.41
2022,NL,Netherlands,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,33882060.0,1018.34,268.28
2019,PL,Poland,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,18911722.0,496.7,91.77
2022,PL,Poland,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,22825328.0,513.65,117.68
2019,SI,Slovenia,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,11968446.0,346.41,184.47
2022,SI,Slovenia,AT,Austria,"Professional, business",1 night or over,Total excluding durable/valuable goods,9593955.0,292.52,75.86
2019,PL,Poland,AT,Austria,"Professional, business",4 nights or over,Total excluding durable/valuable goods,9973630.0,551.6,61.14
2022,PL,Poland,AT,Austria,"Professional, business",4 nights or over,Total excluding durable/valuable goods,14230641.0,690.23,107.88
2019,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,30627342.0,583.16,243.18
2022,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,23723383.0,472.02,192.0
2019,CH,Switzerland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,198320947.0,548.36,261.27
2019,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,66436802.0,206.72,89.32
2022,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,52993163.0,250.39,99.34
2019,DE,Germany,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,1454251868.0,351.93,152.85
2022,DE,Germany,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,1813898519.0,449.21,198.48
2019,ES,Spain,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,50932946.0,502.77,197.98
2019,FR,France,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,57389018.0,553.04,201.15
2019,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,32747574.0,255.37,144.0
2022,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,18613476.0,268.7,133.62
2019,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,67801611.0,136.4,70.59
2022,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,86040814.0,158.27,70.83
2019,IT,Italy,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,127873753.0,330.53,176.57
2022,IT,Italy,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,122574896.0,419.58,176.31
2019,LT,Lithuania,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,4144164.0,333.77,125.99
2019,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,15173727.0,754.68,280.24
2022,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,12105866.0,764.36,322.1
2019,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,75424557.0,616.7,230.59
2022,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,54802689.0,430.99,167.74
2019,PL,Poland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,28572532.0,390.03,154.67
2022,PL,Poland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,25862995.0,275.57,105.36
2019,RO,Romania,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,13886650.0,382.73,137.64
2019,SI,Slovenia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,25471969.0,175.6,98.38
2022,SI,Slovenia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,22017231.0,304.99,150.22
2019,SK,Slovakia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,53398125.0,217.16,107.23
2022,SK,Slovakia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,32982432.0,316.65,136.83
2019,AL,Albania,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,3137622.0,126.33,26.5
2019,BE,Belgium,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,286949636.0,779.37,115.72
2022,BE,Belgium,AT,Austria,Total,1 night or over,Package arrangement,55479481.0,154.53,23.36
2022,BE,Belgium,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,298576063.0,831.67,125.71
2019,CH,Switzerland,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,658365284.0,757.68,141.02
2019,CY,Cyprus,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,36415016.0,1088.49,225.14
2019,CZ,Czechia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,220520078.0,299.38,72.17
2022,CZ,Czechia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,219915985.0,403.53,81.01
2019,DE,Germany,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,6989770322.0,596.48,113.48
2022,DE,Germany,AT,Austria,Total,1 night or over,Package arrangement,1249511303.0,104.93,18.83
2022,DE,Germany,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,8634975531.0,725.16,130.12
2019,DK,Denmark,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,290768510.0,1151.12,180.59
2019,EL,Greece,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,26094492.0,595.69,98.88
2022,EL,Greece,AT,Austria,Total,1 night or over,Package arrangement,7214135.0,572.14,100.74
2022,EL,Greece,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,13528306.0,1072.9,188.92
2019,ES,Spain,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,145843184.0,678.46,129.57
2022,ES,Spain,AT,Austria,Total,1 night or over,Package arrangement,25604983.0,139.57,19.56
2022,ES,Spain,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,191704606.0,1044.96,146.45
2019,FI,Finland,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,148864880.0,1029.36,178.53
2019,FR,France,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,336721187.0,826.93,141.81
2022,FR,France,AT,Austria,Total,1 night or over,Package arrangement,80240462.0,247.77,36.66
2022,FR,France,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,285236771.0,880.78,130.33
2019,HR,Croatia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,62470479.0,316.69,86.72
2022,HR,Croatia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,34467853.0,319.62,81.94
2019,HU,Hungary,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,96733520.0,140.06,45.97
2022,HU,Hungary,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,148630185.0,176.5,55.94
2019,IE,Ireland,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,78789497.0,1115.52,192.65
2019,IT,Italy,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,191324068.0,386.88,151.57
2022,IT,Italy,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,209301435.0,485.49,105.37
2019,LT,Lithuania,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,14005365.0,579.99,129.04
2022,LT,Lithuania,AT,Austria,Total,1 night or over,Package arrangement,3186260.0,146.74,20.56
2022,LT,Lithuania,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,15423645.0,710.3,99.54
2019,LU,Luxembourg,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,103506842.0,1220.67,200.18
2022,LU,Luxembourg,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,122697104.0,1493.14,226.85
2019,MT,Malta,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,14687911.0,930.12,175.58
2022,MT,Malta,AT,Austria,Total,1 night or over,Package arrangement,1579547.0,146.05,27.88
2022,MT,Malta,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,9134294.0,844.61,161.22
2019,NL,Netherlands,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,879130748.0,762.36,90.75
2022,NL,Netherlands,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,977411307.0,720.14,80.37
2019,PL,Poland,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,244835739.0,544.75,70.89
2022,PL,Poland,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,181405429.0,566.86,62.79
2019,PT,Portugal,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,17215444.0,694.28,136.71
2022,PT,Portugal,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,12482353.0,694.32,127.78
2019,RO,Romania,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,59078804.0,431.78,78.54
2022,RO,Romania,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,71180503.0,753.97,116.05
2019,SE,Sweden,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,345006657.0,1462.82,230.35
2019,SI,Slovenia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,44174489.0,233.34,91.13
2022,SI,Slovenia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,39415818.0,337.25,106.17
2019,SK,Slovakia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,130833671.0,315.19,79.96
2022,SK,Slovakia,AT,Austria,Total,1 night or over,Total excluding durable/valuable goods,110310333.0,498.82,116.83
2019,AL,Albania,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,2277361.0,182.6,24.31
2019,BE,Belgium,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,256322293.0,812.02,108.9
2022,BE,Belgium,AT,Austria,Total,4 nights or over,Package arrangement,52458618.0,169.91,23.3
2022,BE,Belgium,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,274852680.0,890.21,122.07
2019,CH,Switzerland,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,460044337.0,906.9,117.68
2019,CZ,Czechia,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,154083276.0,371.09,66.66
2022,CZ,Czechia,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,166922821.0,500.77,76.53
2019,DE,Germany,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,5535518454.0,729.69,106.29
2022,DE,Germany,AT,Austria,Total,4 nights or over,Package arrangement,1136189003.0,144.37,19.86
2022,DE,Germany,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,6821077011.0,866.74,119.2
2019,DK,Denmark,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,233194322.0,1122.37,157.07
2019,EL,Greece,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,21212626.0,694.53,94.14
2019,ES,Spain,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,94910238.0,835.06,109.3
2022,ES,Spain,AT,Austria,Total,4 nights or over,Package arrangement,24890444.0,168.95,20.55
2022,ES,Spain,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,168264528.0,1142.11,138.93
2019,FI,Finland,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,136836722.0,1078.7,175.31
2019,FR,France,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,279332169.0,920.6,133.71
2022,FR,France,AT,Austria,Total,4 nights or over,Package arrangement,80240462.0,290.95,38.47
2022,FR,France,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,265259306.0,961.83,127.18
2019,HR,Croatia,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,29722905.0,430.62,60.3
2022,HR,Croatia,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,15854377.0,411.08,56.35
2019,HU,Hungary,AT,Austria,Total,4 nights or over,Total excluding durable/valuable goods,28931909.0,149.45,25.3
